compound_name,num_experiments,num_species,num_taxa,num_pmids,median_effect,trimmed_mean_effect,sign_consistency,leave_one_species_out_stability,leave_one_taxon_out_stability,aggregation_stability,breadth_score,robustness_score,avg_significance_summary,max_significance_summary,taxa_present,species_present,pmids,evidence_tier,robust_flag,thin_evidence_reason,rank,empirical_p_value,null_exceedance_rate,null_z_score
SKF95282 dimaleate,2,1,1,1,10.15,10.15,1.0,0.0,0.0,1.0,0.3055555555555555,0.4670944444444445,S:2,blank:2,nematode,Caenorhabditis elegans,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,333,0.42957042957042957,0.429,0.6433029021277404
FW1251,2,1,1,1,10.055,10.055,1.0,0.0,0.0,1.0,0.3055555555555555,0.46699944444444447,S:2,blank:2,nematode,Caenorhabditis elegans,32566245,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,334,0.4025974025974026,0.402,0.6525809242848679
78c (CD38 inhibitor),2,1,1,1,10.0,10.0,1.0,0.0,0.0,1.0,0.3055555555555555,0.4669444444444445,NS:1;S:1,NS:1;S:1,mammal,Mus musculus,35263032,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,335,0.14685314685314685,0.146,0.9837558582178029
Homocysteine,2,1,1,1,10.0,10.0,1.0,0.0,0.0,1.0,0.3055555555555555,0.4669444444444445,S:2,blank:2,nematode,Caenorhabditis elegans,25643626,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,336,0.4205794205794206,0.42,0.6638243294665227
ABC28,1,1,1,1,29.0,29.0,1.0,0.0,0.0,1.0,0.25,0.4665,S:1,blank:1,nematode,Caenorhabditis elegans,30911178,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,337,0.11888111888111888,0.118,0.6053409305899448
Dafadine-A,1,1,1,1,29.0,29.0,1.0,0.0,0.0,1.0,0.25,0.4665,S:1,blank:1,nematode,Caenorhabditis elegans,22057127,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,338,0.11188811188811189,0.111,0.6599268581321309
Juglone,1,1,1,1,29.0,29.0,1.0,0.0,0.0,1.0,0.25,0.4665,S:1,blank:1,nematode,Caenorhabditis elegans,19597959,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,339,0.14185814185814186,0.141,0.5940863620326452
Minocycline hydrochloride,1,1,1,1,29.0,29.0,1.0,0.0,0.0,1.0,0.25,0.4665,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,340,0.11788211788211789,0.117,0.609602686817487
Soybean trypsin inhibitor,2,1,1,1,9.55,9.55,1.0,0.0,0.0,1.0,0.3055555555555555,0.4664944444444445,S:2,blank:2,nematode,Caenorhabditis elegans,25959406,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,341,0.44955044955044954,0.449,0.6318522453544718
AZD2281,1,1,1,1,28.94,28.94,1.0,0.0,0.0,1.0,0.25,0.46644,S:1,blank:1,nematode,Caenorhabditis elegans,33216250,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,342,0.12787212787212787,0.127,0.6423810962290829
Silymarin,2,1,1,1,9.095,9.095,1.0,0.0,0.0,1.0,0.3055555555555555,0.4660394444444445,S:2,blank:2,nematode,Caenorhabditis elegans,28039083,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,343,0.45554445554445555,0.455,0.6599103926372187
"2,5-Dimethyl-Celecoxib",2,1,1,1,8.735,8.735,1.0,0.0,0.0,1.0,0.3055555555555555,0.4656794444444445,S:2,blank:2,insect,Drosophila melanogaster,28025308,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,344,0.25074925074925075,0.25,0.9445071486893617
Withaferin A,2,1,1,1,8.65,8.65,1.0,0.0,0.0,1.0,0.3055555555555555,0.4655944444444445,S:2,blank:2,insect,Drosophila melanogaster,33498013,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,345,0.24475524475524477,0.244,0.9678658309319155
Cetylpyridinium chloride,2,1,1,1,8.61,8.61,1.0,0.0,0.0,1.0,0.3055555555555555,0.4655544444444445,S:2,blank:2,nematode,Caenorhabditis elegans,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,346,0.4785214785214785,0.478,0.6360816472901236
ABC63,1,1,1,1,28.0,28.0,1.0,0.0,0.0,1.0,0.25,0.4655,S:1,blank:1,nematode,Caenorhabditis elegans,30911178,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,347,0.11988011988011989,0.119,0.6389203523777047
Meclofenoxate,1,1,1,1,28.0,28.0,1.0,0.0,0.0,1.0,0.25,0.4655,S:1,blank:1,insect,Drosophila melanogaster,4397875,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,348,0.05094905094905095,0.05,0.837251751212832
Methylergonovine maleate,1,1,1,1,28.0,28.0,1.0,0.0,0.0,1.0,0.25,0.4655,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,349,0.12687312687312688,0.126,0.5987963783482058
Thapsigargin,2,1,1,2,8.55,8.55,1.0,0.0,0.0,1.0,0.3055555555555555,0.4654944444444445,S:2,blank:2,nematode,Caenorhabditis elegans,29988547;33766744,thin_evidence,False,species_lt_2;experiments_lt_3;taxa_lt_2,350,0.4865134865134865,0.486,0.630567249278318
