compound_name,num_experiments,num_species,num_taxa,num_pmids,median_effect,trimmed_mean_effect,sign_consistency,leave_one_species_out_stability,leave_one_taxon_out_stability,aggregation_stability,breadth_score,robustness_score,avg_significance_summary,max_significance_summary,taxa_present,species_present,pmids,evidence_tier,robust_flag,thin_evidence_reason,rank,empirical_p_value,null_exceedance_rate,null_z_score
Spermidine,8,6,5,4,27.0,60.5,1.0,1.0,1.0,1.0,1.0,1.0,S:8,blank:8,fungus;insect;mammal;nematode;rotifer,Adineta vaga;Caenorhabditis elegans;Drosophila melanogaster;Mus musculus;Philodina acuticornis;Saccharomyces cerevisiae,19801973;27841876;28386016;31185582,robust,True,,1,0.01098901098901099,0.01,1.1014723882941535
Apple extract,6,3,3,4,20.25,29.166666666666668,1.0,1.0,1.0,1.0,0.9166666666666666,0.95,NS:3;S:3,blank:6,fungus;insect;nematode,Caenorhabditis elegans;Drosophila melanogaster;Saccharomyces cerevisiae,20717869;21319854;22970337;23878618,robust,True,,2,0.11488511488511488,0.114,0.8226877605371464
N-acetyl-L-cysteine,42,5,3,7,16.0,15.75264705882353,0.9047619047619048,1.0,1.0,1.0,1.0,0.9467050280112045,NS:5;S:36;blank:1,NS:2;blank:40,insect;mammal;nematode,Caenorhabditis elegans;Drosophila kikkawai;Drosophila melanogaster;Drosophila virilis;Mus musculus,20819793;26039957;27683245;30243020;31115735;34267196;9447249,robust,True,,3,0.07092907092907093,0.07,1.2971262323319053
Minocycline,28,3,3,6,24.799999999999997,25.712499999999995,0.9642857142857143,1.0,1.0,1.0,0.9166666666666666,0.9394029761904762,NS:3;S:24;blank:1,NS:2;blank:26,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,22330257;23185716;23947005;29152127;30479271;33145977,robust,True,,4,0.000999000999000999,0.0,1.5703321320876857
Alpha-ketoglutarate,18,4,3,8,7.345000000000001,10.08875,0.8888888888888888,1.0,1.0,1.0,1.0,0.9378665277777778,NS:8;S:10,NS:4;S:2;blank:12,insect;mammal;nematode,Caenorhabditis briggsae;Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,24828042;25643626;26190651;31242135;31820364;32877690;33008901;38753230,robust,True,,5,0.005994005994005994,0.005,0.9436110275722522
Carnosine,8,3,3,4,19.75,16.4,1.0,1.0,1.0,1.0,0.9166666666666666,0.9372333333333333,NS:1;S:7,blank:8,fungus;insect;nematode,Caenorhabditis elegans;Drosophila melanogaster;Saccharomyces cerevisiae,12447464;20681748;25643626;27040824,robust,True,,6,0.04795204795204795,0.047,0.8935870653903191
Rapamycin,37,3,3,18,14.0,14.021290322580645,0.972972972972973,1.0,1.0,1.0,0.9166666666666666,0.9294492182505085,NS:6;S:31,NS:4;S:16;blank:17,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,19587680;20074526;20974732;22107964;22560223;23698443;24332851;24341993;24409289;26676933;27091134;27549339;28025308;29874838;30269951;30970250;33008901;33145977,robust,True,,7,0.000999000999000999,0.0,1.721242778918008
Mycophenolic acid,7,4,4,4,1.0,7.051428571428572,0.8571428571428571,1.0,1.0,1.0,1.0,0.92848,NS:4;S:3,NS:2;blank:5,fungus;insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus;Saccharomyces cerevisiae,29186697;32232569;33008901;38041783,robust,True,,8,0.4035964035964036,0.403,0.44118844449630185
Epigallocatechin-3-gallate,15,4,3,9,12.85,11.347692307692306,0.8,1.0,1.0,1.0,1.0,0.9213476923076923,NS:4;S:11,blank:15,insect;mammal;nematode,Aedes aegypti;Caenorhabditis elegans;Drosophila melanogaster;Rattus norvegicus,17156833;19085685;20513639;23834676;26375250;27732590;28992589;31432005;33008901,robust,True,,9,0.5214785214785215,0.521,0.15493191873693563
Vitamin E,30,7,4,12,11.48,9.179166666666667,0.8,1.0,1.0,1.0,1.0,0.9191791666666667,NS:6;S:23;blank:1,blank:30,insect;nematode;protist;rotifer,Asplanchna brightwelli;Caenorhabditis elegans;Drosophila melanogaster;Musca domestica;Paramecium tetraurelia;Philodina acuticornis;Zaprionus paravittiger,10843344;14706234;14706236;15374519;17169403;3374177;4068768;6479253;6821144;7428854;8930618;9406982,robust,True,,10,0.052947052947052944,0.052,0.7056697067615559
Melatonin,11,3,3,5,10.8,11.433333333333332,0.9090909090909091,1.0,1.0,1.0,0.9166666666666666,0.9140848484848485,NS:2;S:8;blank:1,S:2;blank:9,insect;mammal;protist,Drosophila melanogaster;Mus musculus;Paramecium tetraurelia,10100152;11445596;11909680;8290600;9406982,robust,True,,11,0.04295704295704296,0.042,0.8705186614860149
Royal Jelly,8,3,3,4,13.149999999999999,12.845,0.875,1.0,1.0,1.0,0.9166666666666666,0.9086783333333334,NS:1;S:7,NS:3;blank:5,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,12954483;21858156;23132575;27388939,robust,True,,12,0.04595404595404595,0.045,0.9204146478357889
L-Carnitine,7,2,2,2,50.0,83.8,1.0,1.0,1.0,1.0,0.7222222222222222,0.9027777777777778,NS:6;S:1,blank:7,fungus;nematode,Caenorhabditis elegans;Saccharomyces cerevisiae,20550520;33290254,robust,True,,13,0.09290709290709291,0.092,0.9437284034004116
Rifampicin,12,2,2,2,44.349999999999994,43.730000000000004,1.0,1.0,1.0,1.0,0.7222222222222222,0.8965077777777778,S:12,blank:12,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,25720500;30269951,robust,True,,14,0.000999000999000999,0.0,1.5087325247389853
"2,4-dinitrophenol",6,3,3,5,9.5,8.985,0.8333333333333334,1.0,1.0,1.0,0.9166666666666666,0.896485,NS:2;S:3;blank:1,NS:2;blank:4,fungus;insect;mammal,Drosophila melanogaster;Mus musculus;Saccharomyces cerevisiae,15383542;16266268;18505478;38753230;6821144,robust,True,,15,0.25774225774225773,0.257,0.6786543421607104
EUK-134,10,2,2,2,40.0,40.775000000000006,1.0,1.0,1.0,1.0,0.7222222222222222,0.8935527777777778,S:10,blank:10,annelid;nematode,Aeolosoma viride;Caenorhabditis elegans,10968795;25190068,robust,True,,16,0.001998001998001998,0.001,1.2074918070781542
Ursolic acid,5,3,3,4,12.78,16.512,0.8,1.0,1.0,1.0,0.8611111111111112,0.8779008888888888,NS:2;S:3,NS:2;blank:3,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,27773812;28673026;30496629;30688027,robust,True,,17,0.14385614385614387,0.143,0.7685030386890448
Rhodiola rosea extract,17,3,2,6,13.6,12.493333333333334,0.8823529411764706,1.0,1.0,1.0,0.8055555555555555,0.8709083660130719,NS:2;S:15,blank:17,insect;nematode,Bombyx mori;Caenorhabditis elegans;Drosophila melanogaster,17990971;18536978;19634056;23704949;24472572;26497336,robust,True,,18,0.014985014985014986,0.014,0.8798063041815936
Propyl gallate,9,3,2,3,11.76,11.128888888888888,0.8888888888888888,1.0,1.0,1.0,0.8055555555555555,0.870851111111111,NS:2;S:7,blank:9,insect;nematode,Caenorhabditis briggsae;Caenorhabditis elegans;Zaprionus paravittiger,18755260;31820364;8950031,robust,True,,19,0.057942057942057944,0.057,1.145064228838944
Cranberry extract,7,2,2,4,14.4,18.071428571428573,1.0,1.0,1.0,1.0,0.7222222222222222,0.8708492063492064,S:7,blank:7,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,22864793;24316039;24566444;26159161,robust,True,,20,0.025974025974025976,0.025,1.0197895287064453
Baicalein,9,2,2,4,16.54,17.944444444444443,1.0,1.0,1.0,1.0,0.7222222222222222,0.8707222222222222,NS:1;S:7;blank:1,blank:9,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,22114686;23339711;26778291;33809299,robust,True,,21,0.007992007992007992,0.007,1.0529014427996264
Lithium Chloride,7,2,2,3,18.0,17.085714285714285,1.0,1.0,1.0,1.0,0.7222222222222222,0.869863492063492,S:6;blank:1,blank:7,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,17959600;24398558;27068460,robust,True,,22,0.013986013986013986,0.013,1.0334738710487839
D-xylitol,5,3,3,2,2.4,8.052,0.8,1.0,1.0,1.0,0.8611111111111112,0.8694408888888888,NS:4;blank:1,blank:5,fungus;insect;nematode,Caenorhabditis elegans;Drosophila melanogaster;Saccharomyces cerevisiae,12391171;33008901,robust,True,,23,0.5244755244755245,0.524,0.4438580534465858
Butylated hydroxytoluene,12,2,2,2,14.15,15.219999999999999,1.0,1.0,1.0,1.0,0.7222222222222222,0.8679977777777778,NS:1;S:11,NS:6;blank:6,insect;mammal,Drosophila bipectinata;Mus musculus,448040;6656301,robust,True,,24,0.000999000999000999,0.0,1.1833204161217235
Astaxanthin,6,2,2,4,12.68,14.578333333333333,1.0,1.0,1.0,1.0,0.7222222222222222,0.8673561111111111,NS:1;S:5,NS:2;blank:4,mammal;nematode,Caenorhabditis elegans;Mus musculus,22013497;22484623;33115330;38041783,robust,True,,25,0.052947052947052944,0.052,0.9836552452166796
Blueberry extract,5,2,2,3,36.52,33.834,1.0,1.0,1.0,1.0,0.6666666666666666,0.8671673333333334,S:4;blank:1,blank:5,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,22197903;27486399;30238944,robust,True,,26,0.001998001998001998,0.001,1.102979443325762
Green tea extract,12,2,2,5,8.2,10.489999999999998,1.0,1.0,1.0,1.0,0.7222222222222222,0.8632677777777777,NS:2;S:10,NS:3;blank:9,insect;mammal,Drosophila melanogaster;Mus musculus,17440995;17516143;22451473;25058464;8326745,robust,True,,27,0.000999000999000999,0.0,1.2488281604431277
Ibuprofen,13,2,2,2,7.13,6.77,1.0,1.0,1.0,1.0,0.7222222222222222,0.8595477777777778,NS:6;S:7,blank:13,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,25521617;28066251,robust,True,,28,0.011988011988011988,0.011,1.0502611094841514
LY-294002,5,2,2,3,14.3,16.657999999999998,1.0,1.0,1.0,1.0,0.6666666666666666,0.8499913333333333,S:5,blank:5,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,10638524;20017609;26676933,robust,True,,29,0.05194805194805195,0.051,1.0006084699221425
Inositol,12,2,2,4,15.8,13.559999999999999,0.9166666666666666,1.0,1.0,1.0,0.7222222222222222,0.8496711111111112,NS:4;S:8,blank:12,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,22843669;25643626;32901024;4397875,robust,True,,30,0.060939060939060936,0.06,0.8945328924151731
Sorbitol,8,2,2,4,22.509999999999998,20.74625,0.875,1.0,1.0,1.0,0.7222222222222222,0.8485240277777778,NS:2;S:5;blank:1,blank:8,fungus;nematode,Caenorhabditis elegans;Saccharomyces cerevisiae,12391171;19883616;26579191;26854551,robust,True,,31,0.1928071928071928,0.192,0.5644600760529137
Lithocholic acid,3,2,2,3,100.0,76.81333333333333,1.0,1.0,1.0,1.0,0.5555555555555555,0.8444444444444444,S:3,blank:3,fungus;insect,Drosophila melanogaster;Saccharomyces cerevisiae,20622262;30051966;30405886,robust,True,,32,0.06893106893106893,0.068,0.9640646922152436
Trichostatin A,4,2,2,3,22.700000000000003,22.075,1.0,1.0,1.0,1.0,0.611111111111111,0.8359638888888888,S:3;blank:1,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,15346199;15695762;26676933,robust,True,,33,0.024975024975024976,0.024,1.082494939596656
Glycine,8,2,2,3,6.925,7.99875,0.875,1.0,1.0,1.0,0.7222222222222222,0.8357765277777779,NS:2;S:6,NS:1;S:1;blank:6,mammal;nematode,Caenorhabditis elegans;Mus musculus,25643626;30845140;30916479,robust,True,,34,0.24475524475524477,0.244,0.7235336402542393
Geldanamycin,5,2,2,2,2.0,2.4259999999999997,1.0,1.0,1.0,1.0,0.6666666666666666,0.8357593333333334,NS:4;S:1,blank:5,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,26676933;33008901,robust,True,,35,0.18181818181818182,0.181,0.864875087556563
Captopril,4,2,2,2,18.5,19.0,1.0,1.0,1.0,1.0,0.611111111111111,0.8328888888888889,S:4,S:2;blank:2,mammal;nematode,Caenorhabditis elegans;Mus musculus,26918946;36179270,robust,True,,36,0.025974025974025976,0.025,1.0298920645370315
Tryptophan,7,2,2,2,4.68,4.4399999999999995,0.8571428571428571,1.0,1.0,1.0,0.7222222222222222,0.8286463492063492,NS:3;S:4,blank:7,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,25643626;33008901,robust,True,,37,0.3046953046953047,0.304,0.7331524769464209
Agmatine,7,2,2,2,4.8,2.717142857142857,0.8571428571428571,1.0,1.0,1.0,0.7222222222222222,0.826923492063492,NS:2;S:5,blank:7,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,25643626;31474368,robust,True,,38,0.3066933066933067,0.306,0.7412672232902203
Sesame extract,4,2,2,2,12.645,11.52,1.0,1.0,1.0,1.0,0.611111111111111,0.8254088888888889,S:4,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,23291977;27381188,robust,True,,39,0.2097902097902098,0.209,0.9164900479901177
Lamotrigine,4,2,2,2,10.405000000000001,10.6175,1.0,1.0,1.0,1.0,0.611111111111111,0.8245063888888888,NS:2;S:2,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,19430925;33008901,robust,True,,40,0.12787212787212787,0.127,1.0168651682637702
Calcium pantothenate,3,2,2,2,20.0,21.933333333333334,1.0,1.0,1.0,1.0,0.5555555555555555,0.8163777777777778,S:3,blank:3,insect;mammal,Drosophila melanogaster;Mus musculus,13614445;18856647,robust,True,,41,0.006993006993006993,0.006,1.1893979875514777
Allantoin,3,2,2,2,21.6,19.5,1.0,1.0,1.0,1.0,0.5555555555555555,0.8139444444444444,S:3,blank:3,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,26676933;30269951,robust,True,,42,0.07492507492507493,0.074,0.9927778504417006
Mianserin,5,2,2,4,28.3,19.137999999999998,0.8,1.0,1.0,1.0,0.6666666666666666,0.8124713333333333,NS:1;S:4,blank:5,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,18033297;24134630;26255886;33008901,robust,True,,43,0.1938061938061938,0.193,0.761002494349651
Fucoxanthin,3,2,2,2,14.0,11.700000000000001,1.0,1.0,1.0,1.0,0.5555555555555555,0.8061444444444444,S:3,blank:3,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,26292053;29504896,robust,True,,44,0.16883116883116883,0.168,0.9615893391146562
Oxaloacetate,3,2,2,2,4.0,10.666666666666666,1.0,1.0,1.0,1.0,0.5555555555555555,0.8051111111111111,NS:2;S:1,NS:2;blank:1,mammal;nematode,Caenorhabditis elegans;Mus musculus,19793063;22451473,robust,True,,45,0.15984015984015984,0.159,0.9477840111411593
L-deprenyl,9,2,1,5,8.1,9.244444444444445,1.0,1.0,0.0,1.0,0.611111111111111,0.7231333333333334,S:9,blank:9,mammal,Mus musculus;Rattus norvegicus,16463106;2118586;8030852;8423709;8914495,robust,True,,46,0.006993006993006993,0.006,1.2739816322754973
Thioflavin T,4,2,1,2,43.89,43.3275,1.0,1.0,0.0,1.0,0.49999999999999994,0.7183275,S:4,blank:4,nematode,Caenorhabditis briggsae;Caenorhabditis elegans,21451522;31820364,robust,True,,47,0.001998001998001998,0.001,1.3374141697661477
Pineal gland extract,4,2,1,3,19.5,18.25,1.0,1.0,0.0,1.0,0.49999999999999994,0.69325,S:2;blank:2,blank:4,mammal,Mus musculus;Rattus norvegicus,2682058;575333;6752596,robust,True,,48,0.008991008991008992,0.008,1.2275682375963015
SkQ1,3,3,3,1,50.0,54.666666666666664,1.0,1.0,1.0,1.0,0.75,0.9125,S:3,blank:3,crustacean;fungus;insect,Ceriodaphnia affinis;Drosophila melanogaster;Podospora anserina,19120018,promising,False,,49,0.10989010989010989,0.109,0.7287083252167539
Quercetin,37,6,4,12,10.0,7.926129032258064,0.7567567567567568,1.0,1.0,1.0,1.0,0.9092774803836094,NS:4;S:33,NS:2;blank:35,fungus;insect;mammal;nematode,Aedes aegypti;Aedes albopictus;Caenorhabditis elegans;Drosophila melanogaster;Mus musculus;Podospora anserina,18024103;18692520;19043800;21563825;21776484;22155175;22493606;27732590;28066251;29780405;34188892;7140862,promising,False,,50,0.47952047952047955,0.479,0.10505784589491765
Curcumin,37,3,3,11,6.74,10.321290322580646,0.7567567567567568,1.0,1.0,1.0,0.9166666666666666,0.8825059750072654,NS:7;S:22;blank:8,NS:2;blank:35,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,20645870;21855561;22451473;22653297;23063786;23675008;25173182;25959406;26136617;30488487;33008901,promising,False,,51,0.03996003996003996,0.039,0.729023521807427
Hydralazine,8,3,3,4,7.005,9.01625,0.75,1.0,1.0,1.0,0.9166666666666666,0.8798495833333333,NS:4;S:4,NS:4;blank:4,mammal;nematode;rotifer,Brachionus manjavacas;Caenorhabditis elegans;Mus musculus,27484416;29263362;31659167;38753230,promising,False,,52,0.33466533466533466,0.334,0.465544351366895
Fisetin,7,3,3,4,7.0,12.857142857142858,0.7142857142857143,1.0,1.0,1.0,0.9166666666666666,0.8765476190476191,NS:4;S:3,NS:4;blank:3,fungus;insect;mammal,Drosophila melanogaster;Mus musculus;Saccharomyces cerevisiae,12939617;15254550;30279143;38041783,promising,False,,53,0.26873126873126874,0.268,0.5788957239684638
Dimethyl Sulfide,6,2,2,1,18.09,17.791666666666668,1.0,1.0,1.0,1.0,0.7222222222222222,0.8705694444444444,S:6,blank:6,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,27790859,promising,False,,54,0.02097902097902098,0.02,1.0251586458310944
Epithalamin,4,3,2,1,20.5,20.75,1.0,1.0,1.0,1.0,0.6944444444444443,0.8638055555555556,S:4,blank:4,insect;mammal,Drosophila melanogaster;Mus musculus;Rattus norvegicus,9701766,promising,False,,55,0.011988011988011988,0.011,1.1894327635885735
Chlorophytum borivilianum extract,5,2,2,1,23.0,28.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8613333333333334,S:1;blank:4,blank:5,fungus;nematode,Caenorhabditis elegans;Saccharomyces cerevisiae,28727758,promising,False,,56,0.3546453546453546,0.354,0.6214676482601595
Acetaminophen,4,3,3,3,11.0,15.15,0.75,1.0,1.0,1.0,0.8055555555555555,0.8470944444444444,NS:2;S:2,blank:4,insect;mammal;nematode,Caenorhabditis elegans;Drosophila melanogaster;Mus musculus,22114686;4397875;4788962,promising,False,,57,0.2217782217782218,0.221,0.6626141279488258
Colanic acid,21,2,2,1,9.0,8.470588235294118,0.8571428571428571,1.0,1.0,1.0,0.7222222222222222,0.8326769374416433,NS:9;S:12,blank:21,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,28622510,promising,False,,58,0.16983016983016982,0.169,0.8418439132079131
Tetracycline HCL,7,2,2,1,5.23,5.001428571428571,0.8571428571428571,1.0,1.0,1.0,0.7222222222222222,0.8292077777777778,NS:3;S:4,blank:7,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,59,0.23676323676323677,0.236,0.8174547714022861
Bupivacaine Hydrochloride,4,2,2,1,5.484999999999999,5.885,1.0,1.0,1.0,1.0,0.611111111111111,0.8197738888888889,NS:2;S:2,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,60,0.2137862137862138,0.213,0.938951639459976
Mifepristone,7,2,2,2,15.2,22.361428571428572,0.7142857142857143,1.0,1.0,1.0,0.7222222222222222,0.8179963492063492,NS:2;S:5,blank:7,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,28451923;32648907,promising,False,,61,0.23576423576423577,0.235,0.7914391901305351
Carvedilol,4,2,2,1,0.8200000000000001,1.4,1.0,1.0,1.0,1.0,0.611111111111111,0.8152888888888888,NS:4,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,62,0.22477522477522477,0.224,0.9037252083187001
Edetate Calcium Disodium,2,2,2,2,35.4,35.4,1.0,1.0,1.0,1.0,0.5,0.8104,S:1;blank:1,blank:2,nematode;rotifer,Caenorhabditis elegans;Mytilina brevispina,25554795;804507,promising,False,,63,0.35364635364635366,0.353,0.5296561133083783
Gedunin,8,2,2,1,2.105,2.285,0.75,1.0,1.0,1.0,0.7222222222222222,0.8050627777777778,NS:7;S:1,blank:8,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,64,0.44255744255744256,0.442,0.5851881866728321
Ginseng extract,7,2,2,2,5.7,5.957142857142857,0.7142857142857143,1.0,1.0,1.0,0.7222222222222222,0.8015920634920636,NS:5;S:2,NS:4;blank:3,insect;mammal,Drosophila melanogaster;Mus musculus,24265871;571386,promising,False,,65,0.2757242757242757,0.275,0.7767130506207289
Phenformin,2,2,2,2,25.0,25.0,1.0,1.0,1.0,1.0,0.5,0.8,S:2,S:1;blank:1,mammal;nematode,Caenorhabditis elegans;Mus musculus,14618027;23540700,promising,False,,66,0.03696303696303696,0.036,0.9687029594864099
DTT,3,2,2,1,2.56,4.403333333333333,1.0,1.0,1.0,1.0,0.5555555555555555,0.7988477777777777,NS:3,blank:3,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,67,0.35364635364635366,0.353,0.8954279826629477
Pirenperone,3,2,2,1,3.48,4.29,1.0,1.0,1.0,1.0,0.5555555555555555,0.7987344444444444,NS:2;S:1,blank:3,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,68,0.27172827172827174,0.271,0.9447185475534164
Ellagic acid,10,2,2,3,2.28,5.817500000000001,0.7,1.0,1.0,1.0,0.7222222222222222,0.7985952777777778,NS:5;S:5,blank:10,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,21805983;27400265;31786733,promising,False,,69,0.4935064935064935,0.493,0.46581328832448626
Memantine Hydrochloride,3,2,2,1,1.24,3.573333333333333,1.0,1.0,1.0,1.0,0.5555555555555555,0.7980177777777777,NS:3,blank:3,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,70,0.32167832167832167,0.321,0.9156326564929679
Eserine hemisulfate salt,3,2,2,1,3.4,2.8333333333333335,1.0,1.0,1.0,1.0,0.5555555555555555,0.7972777777777778,NS:3,blank:3,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,71,0.37362637362637363,0.373,0.8630279574658953
"4,4′-dimethoxychalcone",2,2,2,1,17.895,17.895,1.0,1.0,1.0,1.0,0.5,0.792895,S:2,blank:2,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,30783116,promising,False,,72,0.14085914085914086,0.14,0.9103055958953025
Isorhamnetin,2,2,2,2,16.71,16.71,1.0,1.0,1.0,1.0,0.5,0.79171,S:2,blank:2,fungus;nematode,Caenorhabditis elegans;Podospora anserina,21776484;29780405,promising,False,,73,0.24275724275724275,0.242,0.6943887483524576
Tyrphostin AG 1478,2,2,2,2,15.25,15.25,1.0,1.0,1.0,1.0,0.5,0.79025,S:2,blank:2,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,22363408;24134630,promising,False,,74,0.19880119880119881,0.198,0.8816822454455953
Korean mistletoe extract,2,2,2,1,14.75,14.75,1.0,1.0,1.0,1.0,0.5,0.7897500000000001,S:2,blank:2,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,24337961,promising,False,,75,0.1968031968031968,0.196,0.8972426971681938
Icariin,2,2,2,2,14.35,14.35,1.0,1.0,1.0,1.0,0.5,0.78935,S:2,NS:1;blank:1,mammal;nematode,Caenorhabditis elegans;Mus musculus,22216122;26145038,promising,False,,76,0.16283716283716285,0.162,0.896357360482818
Ginkgo biloba extract,2,2,2,2,12.7,12.7,1.0,1.0,1.0,1.0,0.5,0.7877000000000001,S:1;blank:1,blank:2,mammal;nematode,Caenorhabditis elegans;Rattus norvegicus,16872777;9469738,promising,False,,77,0.25074925074925075,0.25,0.9664062442783273
Xanthine,2,2,2,2,1.31,1.31,1.0,1.0,1.0,1.0,0.5,0.7763100000000001,NS:2,blank:2,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,1800135;30061824,promising,False,,78,0.4975024975024975,0.497,0.7965129559147937
Thioridazine hydrochloride,4,2,2,2,10.620000000000001,12.1675,0.75,1.0,1.0,1.0,0.611111111111111,0.7760563888888888,NS:2;S:2,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,24134630;33008901,promising,False,,79,0.27372627372627373,0.273,0.7140844555474313
Cyclosporin A,4,2,2,2,2.465,5.4425,0.75,1.0,1.0,1.0,0.611111111111111,0.7693313888888889,NS:2;S:2,blank:4,fungus;nematode,Caenorhabditis elegans;Podospora anserina,20626725;24134630,promising,False,,80,0.7032967032967034,0.703,0.16470339985246576
Amikacin hydrate,4,2,2,1,4.8149999999999995,4.595,0.75,1.0,1.0,1.0,0.611111111111111,0.7684838888888889,NS:2;S:2,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,81,0.4945054945054945,0.494,0.5737125297453132
Tetramethylpyrazine,4,2,2,1,5.630000000000001,3.2775000000000003,0.75,1.0,1.0,1.0,0.611111111111111,0.7671663888888889,NS:2;S:2,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,82,0.4695304695304695,0.469,0.6455767737043814
Levosulpiride,4,2,2,1,2.775,2.0225,0.75,1.0,1.0,1.0,0.611111111111111,0.7659113888888889,NS:4,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,83,0.5124875124875125,0.512,0.5630751177099305
Amlexanox,4,2,2,1,1.425,1.5074999999999998,0.75,1.0,1.0,1.0,0.611111111111111,0.7653963888888888,NS:4,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,84,0.4975024975024975,0.497,0.5960121614379964
Epitalon,11,2,2,2,11.3,9.511111111111113,0.9090909090909091,0.5,0.5,1.0,0.7222222222222222,0.7191070707070708,NS:4;S:7,S:1;blank:10,insect;mammal,Drosophila melanogaster;Mus musculus,11087911;14501183,promising,False,,85,0.47652347652347654,0.476,0.2791719299710578
Kynurenic acid,2,2,1,1,49.5,49.5,1.0,1.0,0.0,1.0,0.38888888888888884,0.6856111111111111,S:2,blank:2,rotifer,Adineta vaga;Philodina acuticornis,31185582,promising,False,,86,0.23176823176823177,0.231,1.0679634195447412
Catechin,11,2,2,4,6.5,4.81,0.7272727272727273,0.5,0.5,1.0,0.7222222222222222,0.6780423232323233,NS:4;S:7,blank:11,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,19501612;21805983;32530444;8326745,promising,False,,87,0.7702297702297702,0.77,-0.6992664909356495
Dimethylaminoethyl p-chlorophenoxyacetate,2,2,1,2,15.65,15.65,1.0,1.0,0.0,1.0,0.38888888888888884,0.6517611111111111,NS:1;S:1,blank:2,mammal,Mus musculus;Rattus norvegicus,4147092;4788962,promising,False,,88,0.07292707292707293,0.072,1.1281696848658158
NSC666076,4,2,2,1,3.135,3.32,0.75,0.5,0.5,1.0,0.611111111111111,0.6422088888888888,NS:4,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,89,0.6353646353646354,0.635,-0.10456390139502973
Lorglumide Sodium,4,2,2,1,2.43,1.5625,0.75,0.5,0.5,1.0,0.611111111111111,0.6404513888888889,NS:2;S:2,blank:4,insect;nematode,Caenorhabditis elegans;Drosophila melanogaster,33008901,promising,False,,90,0.6613386613386614,0.661,-0.13762729995386896
Putrescine,4,2,2,2,2.0,0.25,0.75,0.5,0.5,1.0,0.611111111111111,0.6391388888888888,NS:2;S:2,blank:4,mammal;nematode,Caenorhabditis elegans;Mus musculus,25643626;27841876,promising,False,,91,0.6643356643356644,0.664,-0.19126672374780557
